last_name, first_name,pitcher,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,kn_avg_speed
Strasburg, Stephen,544931,93.9,93.8,,87.8,87.7,81.4,,
Cole, Gerrit,543037,97.2,97.1,,89.3,88.6,82.9,,
Verlander, Justin,434378,94.6,,,87.4,86.9,79.4,,
Corbin, Patrick,571578,92.1,91.9,,81.8,81.7,67.8,,
Bauer, Trevor,545333,94.5,94.8,84.6,79.6,86.0,79.1,,
Rodriguez, Eduardo,593958,93.0,93.0,88.5,85.2,87.7,82.4,,
Greinke, Zack,425844,89.9,90.4,89.3,83.8,87.4,70.7,80.1,
Flaherty, Jack,656427,94.3,92.1,,84.9,86.2,78.2,,
Lynn, Lance,458681,94.6,92.8,89.0,,86.9,81.2,,
Minor, Mike,501985,92.5,,,86.4,86.2,80.7,,
Nola, Aaron,605400,93.1,92.2,,,85.8,79.1,,
Morton, Charlie,450203,94.8,93.9,85.4,,,78.7,84.9,
Scherzer, Max,453286,95.0,,89.9,85.6,84.4,78.8,,
Bumgarner, Madison,518516,91.4,92.2,87.2,,84.2,78.8,,
Bieber, Shane,669456,93.1,93.7,,85.0,87.6,82.7,,
Berrios, Jose,621244,93.2,92.2,,,82.6,81.3,,
deGrom, Jacob,594798,96.9,96.7,,92.5,90.3,84.3,,
Lopez, Reynaldo,625643,95.4,,,84.4,84.0,78.3,,
Wheeler, Zack,554430,96.8,96.5,,91.2,89.0,80.7,88.8,
Gonzales, Marco,594835,88.1,88.9,85.2,,81.2,76.3,,
Boyd, Matthew,571510,92.1,90.3,90.5,79.6,79.1,72.2,,
Syndergaard, Noah,592789,97.8,97.5,,89.1,91.1,80.4,,
Alcantara, Sandy,645261,95.6,95.3,,86.0,89.1,82.0,,
Castillo, Luis,622491,96.4,96.5,,85.9,87.2,,,
Ray, Robbie,592662,92.4,92.2,,84.2,,81.6,,
Teheran, Julio,527054,89.7,89.3,,82.2,83.6,74.8,,
Buehler, Walker,621111,96.6,96.6,92.8,87.0,91.5,80.9,,
Stroman, Marcus,573186,92.9,92.5,91.0,85.7,87.0,75.4,,
Lester, Jon,452657,90.6,89.5,87.9,,84.3,74.5,,
Tanaka, Masahiro,547888,91.4,90.3,87.5,83.2,,76.1,86.7,
Wainwright, Adam,425794,89.6,90.0,84.9,,83.9,74.9,,
Samardzija, Jeff,502188,91.6,92.2,88.8,84.6,,76.3,82.3,
Nova, Ivan,467100,92.5,92.3,86.7,,86.2,79.9,,
Mikolas, Miles,571945,93.7,93.4,,87.0,87.8,78.4,,
Sanchez, Anibal,434671,90.2,90.5,87.7,83.2,71.3,77.0,84.4,
Leake, Mike,502190,88.6,88.3,86.7,80.3,84.0,79.3,,
Kelly, Merrill,518876,92.0,91.5,89.9,,86.0,80.6,,
Porcello, Rick,519144,91.0,89.5,,84.3,80.8,74.9,,
Hudson, Dakota,641712,93.9,93.5,,87.5,88.1,81.9,,
Miley, Wade,489119,90.8,89.5,87.3,81.7,81.2,75.6,,
Junis, Jakob,596001,91.7,91.0,,82.4,84.6,79.3,,
Paxton, James,572020,95.5,,88.2,,86.3,81.3,,
Roark, Tanner,543699,92.1,91.9,,86.3,84.1,75.7,,
Odorizzi, Jake,543606,92.9,,85.5,,,75.4,85.2,
Darvish, Yu,506433,94.1,93.4,86.9,82.4,83.8,77.2,88.6,
Fiers, Mike,571666,90.4,90.2,,85.7,84.1,74.0,,
Giolito, Lucas,608337,94.2,,,84.6,81.7,79.4,,
Gray, Sonny,543243,93.3,93.1,89.3,84.6,89.7,81.9,,
Bailey, Homer,456701,93.0,92.7,,87.3,,78.4,84.1,
Gibson, Kyle,502043,93.4,93.3,,84.1,85.3,80.1,,
Bundy, Dylan,605164,91.1,91.3,,81.1,83.4,74.8,,
Ryu, Hyun-Jin,547943,90.7,90.1,87.0,80.1,80.2,72.8,,
Perez, Martin,527048,94.2,93.9,88.5,,85.3,79.2,,
Happ, J.A.,457918,92.0,89.7,,84.8,86.1,81.0,,
Thornton, Trent,663423,92.9,91.9,88.1,80.5,,73.9,83.3,
Fried, Max,608331,93.8,93.7,93.5,83.8,84.8,74.6,,
Quintana, Jose,500779,91.4,91.3,,,86.5,77.0,,
Keller, Brad,641745,93.7,92.8,,84.9,87.8,,,
Matz, Steven,571927,,93.3,,89.5,84.3,78.6,,
Hendricks, Kyle,543294,87.2,86.7,,,78.6,71.4,,
