last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Bauer, Trevor,545333,2019,911,557,.230,.227,.003,.429,.406,.023,.316,.311,.005
Lynn, Lance,458681,2019,875,562,.243,.232,.011,.390,.381,.009,.294,.288,.006
Gonzales, Marco,594835,2019,866,657,.264,.258,.006,.422,.414,.008,.311,.312,-.001
Minor, Mike,501985,2019,863,588,.244,.233,.011,.395,.394,.001,.301,.299,.002
Rodriguez, Eduardo,593958,2019,859,564,.253,.230,.023,.391,.380,.011,.307,.294,.013
Bieber, Shane,669456,2019,859,554,.230,.246,-.016,.393,.427,-.034,.280,.300,-.020
Nola, Aaron,605400,2019,852,532,.233,.236,-.003,.393,.395,-.002,.304,.307,-.003
Verlander, Justin,434378,2019,847,498,.172,.189,-.017,.361,.355,.006,.243,.249,-.006
Bumgarner, Madison,518516,2019,844,587,.245,.255,-.010,.426,.456,-.030,.300,.316,-.016
Berrios, Jose,621244,2019,842,587,.251,.246,.005,.404,.417,-.013,.300,.303,-.003
Strasburg, Stephen,544931,2019,841,524,.210,.212,-.002,.349,.339,.010,.265,.266,-.001
Alcantara, Sandy,645261,2019,838,598,.241,.246,-.005,.397,.426,-.029,.308,.322,-.014
Leake, Mike,502190,2019,835,671,.286,.299,-.013,.506,.520,-.014,.341,.354,-.013
Corbin, Patrick,571578,2019,835,524,.227,.230,-.003,.375,.416,-.041,.285,.304,-.019
Wheeler, Zack,554430,2019,828,580,.258,.250,.008,.391,.400,-.009,.294,.298,-.004
Syndergaard, Noah,592789,2019,824,567,.256,.234,.022,.410,.366,.044,.301,.280,.021
Cole, Gerrit,543037,2019,817,440,.186,.184,.002,.343,.317,.026,.246,.238,.008
Greinke, Zack,425844,2019,810,589,.228,.242,-.014,.364,.390,-.026,.263,.282,-.019
Lopez, Reynaldo,625643,2019,809,567,.278,.260,.018,.491,.471,.020,.349,.337,.012
Nova, Ivan,467100,2019,806,635,.303,.294,.009,.483,.472,.011,.351,.347,.004
deGrom, Jacob,594798,2019,804,498,.207,.209,-.002,.323,.327,-.004,.250,.253,-.003
Morton, Charlie,450203,2019,790,481,.215,.220,-.005,.340,.340,.000,.270,.275,-.005
Boyd, Matthew,571510,2019,788,491,.247,.227,.020,.465,.415,.050,.320,.297,.023
Castillo, Luis,622491,2019,780,469,.202,.208,-.006,.343,.330,.013,.277,.277,.000
Kelly, Merrill,518876,2019,777,558,.260,.275,-.015,.447,.497,-.050,.319,.344,-.025
Stroman, Marcus,573186,2019,774,555,.257,.249,.008,.384,.375,.009,.300,.294,.006
Flaherty, Jack,656427,2019,772,479,.192,.217,-.025,.335,.364,-.029,.254,.278,-.024
Junis, Jakob,596001,2019,771,537,.276,.274,.002,.468,.482,-.014,.340,.345,-.005
Porcello, Rick,519144,2019,768,573,.278,.265,.013,.483,.489,-.006,.338,.337,.001
Mikolas, Miles,571945,2019,764,576,.272,.279,-.007,.449,.453,-.004,.319,.328,-.009
Lester, Jon,452657,2019,764,542,.294,.282,.012,.470,.462,.008,.344,.340,.004
Tanaka, Masahiro,547888,2019,759,568,.261,.265,-.004,.450,.437,.013,.314,.316,-.002
Hudson, Dakota,641712,2019,757,526,.245,.263,-.018,.403,.421,-.018,.316,.334,-.018
Teheran, Julio,527054,2019,754,494,.229,.240,-.011,.389,.413,-.024,.310,.323,-.013
Ray, Robbie,592662,2019,747,422,.234,.231,.003,.441,.430,.011,.323,.321,.002
Wainwright, Adam,425794,2019,745,520,.273,.265,.008,.440,.433,.007,.330,.327,.003
Quintana, Jose,500779,2019,745,544,.282,.275,.007,.440,.433,.007,.321,.324,-.003
Anderson, Brett,474463,2019,743,600,.265,.287,-.022,.408,.480,-.072,.308,.344,-.036
Samardzija, Jeff,502188,2019,740,545,.225,.254,-.029,.411,.472,-.061,.289,.326,-.037
Buehler, Walker,621111,2019,737,478,.223,.229,-.006,.368,.368,.000,.270,.275,-.005
Perez, Martin,527048,2019,737,532,.279,.248,.031,.439,.386,.053,.334,.304,.030
Darvish, Yu,506433,2019,731,435,.213,.223,-.010,.411,.397,.014,.294,.295,-.001
Hendricks, Kyle,543294,2019,730,538,.249,.255,-.006,.397,.400,-.003,.291,.297,-.006
Ryu, Hyun-Jin,547943,2019,723,532,.234,.253,-.019,.359,.373,-.014,.263,.281,-.018
Roark, Tanner,543699,2019,722,499,.275,.278,-.003,.467,.475,-.008,.340,.345,-.005
Marquez, German,608566,2019,721,506,.259,.268,-.009,.441,.456,-.015,.311,.324,-.013
Kikuchi, Yusei,579328,2019,721,549,.295,.281,.014,.539,.476,.063,.368,.344,.024
Miley, Wade,489119,2019,720,513,.254,.247,.007,.406,.385,.021,.311,.304,.007
Musgrove, Joe,605397,2019,718,512,.254,.251,.003,.437,.422,.015,.309,.305,.004
Sanchez, Anibal,434671,2019,712,516,.236,.255,-.019,.406,.425,-.019,.296,.313,-.017
Keller, Brad,641745,2019,709,508,.247,.263,-.016,.381,.421,-.040,.307,.330,-.023
Gray, Sonny,543243,2019,708,428,.196,.212,-.016,.325,.355,-.030,.265,.284,-.019
Gibson, Kyle,502043,2019,706,482,.275,.270,.005,.443,.438,.005,.333,.331,.002
Kershaw, Clayton,477132,2019,706,472,.222,.241,-.019,.394,.404,-.010,.281,.294,-.013
Eflin, Zach,621107,2019,705,522,.268,.260,.008,.452,.429,.023,.325,.315,.010
Giolito, Lucas,608337,2019,705,416,.205,.215,-.010,.373,.366,.007,.275,.280,-.005
Fried, Max,608331,2019,702,476,.270,.254,.016,.419,.383,.036,.315,.297,.018
Soroka, Mike,647336,2019,701,510,.236,.264,-.028,.340,.395,-.055,.272,.304,-.032
Bundy, Dylan,605164,2019,700,474,.256,.241,.015,.462,.406,.056,.329,.309,.020
Bailey, Homer,456701,2019,696,490,.256,.267,-.011,.403,.419,-.016,.307,.318,-.011
DeSclafani, Anthony,543101,2019,696,476,.238,.238,.000,.422,.413,.009,.300,.301,-.001
Scherzer, Max,453286,2019,693,409,.222,.206,.016,.371,.338,.033,.269,.254,.015
Matz, Steven,571927,2019,691,479,.260,.256,.004,.454,.450,.004,.325,.322,.003
Lucchesi, Joey,664192,2019,686,470,.233,.235,-.002,.405,.397,.008,.298,.299,-.001
Happ, J.A.,457918,2019,678,482,.258,.258,.000,.469,.461,.008,.329,.327,.002
Thornton, Trent,663423,2019,676,462,.259,.260,-.001,.439,.432,.007,.325,.327,-.002
Davies, Zach,605200,2019,672,516,.256,.282,-.026,.416,.470,-.054,.310,.341,-.031
Odorizzi, Jake,543606,2019,658,423,.234,.234,.000,.371,.400,-.029,.289,.300,-.011
Turnbull, Spencer,605513,2019,656,435,.267,.258,.009,.413,.422,-.009,.329,.329,.000
Lauer, Eric,641778,2019,651,457,.268,.248,.020,.430,.420,.010,.321,.311,.010
Vargas, Jason,450306,2019,649,456,.249,.242,.007,.424,.440,-.016,.318,.322,-.004
Smith, Caleb,592761,2019,646,412,.223,.228,-.005,.454,.460,-.006,.315,.321,-.006
Gray, Jon,592351,2019,637,427,.259,.269,-.010,.437,.426,.011,.323,.325,-.002
Means, John,607644,2019,637,472,.234,.240,-.006,.417,.425,-.008,.295,.305,-.010
Cashner, Andrew,488768,2019,636,466,.253,.268,-.015,.418,.469,-.051,.317,.345,-.028
Williams, Trevor,592866,2019,636,472,.284,.277,.007,.513,.484,.029,.351,.343,.008
Paxton, James,572020,2019,633,390,.242,.228,.014,.423,.387,.036,.310,.295,.015
Maeda, Kenta,628317,2019,624,400,.202,.216,-.014,.371,.345,.026,.274,.274,.000
Hamels, Cole,430935,2019,617,409,.260,.257,.003,.406,.422,-.016,.317,.326,-.009
Bassitt, Chris,605135,2019,612,411,.229,.235,-.006,.394,.394,.000,.299,.304,-.005
Norris, Daniel,596057,2019,610,443,.275,.266,.009,.473,.475,-.002,.334,.333,.001
Sparkman, Glenn,642098,2019,606,478,.296,.293,.003,.527,.518,.009,.364,.364,.000
Sanchez, Aaron,592717,2019,605,410,.278,.266,.012,.457,.438,.019,.353,.343,.010
Pineda, Michael,501381,2019,600,427,.253,.258,-.005,.430,.445,-.015,.301,.312,-.011
Lyles, Jordan,543475,2019,599,397,.243,.233,.010,.454,.426,.028,.321,.308,.013
Arrieta, Jake,453562,2019,594,426,.283,.266,.017,.448,.449,-.001,.339,.334,.005
German, Domingo,593334,2019,594,397,.228,.247,-.019,.442,.448,-.006,.305,.316,-.011
Anderson, Chase,502624,2019,592,410,.240,.250,-.010,.449,.427,.022,.320,.321,-.001
Senzatela, Antonio,622608,2019,582,445,.313,.296,.017,.506,.470,.036,.373,.356,.017
Richards, Trevor,670950,2019,580,392,.249,.242,.007,.422,.415,.007,.316,.314,.002
Paddack, Chris,663978,2019,568,378,.204,.217,-.013,.380,.383,-.003,.268,.275,-.007
Sampson, Adrian,592716,2019,563,417,.302,.300,.002,.568,.543,.025,.382,.373,.009
Wacha, Michael,608379,2019,561,400,.290,.279,.011,.503,.490,.013,.360,.354,.006
Mahle, Tyler,641816,2019,556,387,.266,.256,.010,.457,.439,.018,.326,.318,.008
Duffy, Danny,518633,2019,555,386,.251,.266,-.015,.438,.470,-.032,.323,.342,-.019
Lopez, Jorge,605347,2019,548,387,.286,.272,.014,.513,.512,.001,.360,.359,.001
Jurado, Ariel,642558,2019,541,420,.304,.298,.006,.526,.517,.009,.362,.365,-.003
LeBlanc, Wade,453281,2019,532,408,.291,.282,.009,.534,.494,.040,.359,.344,.015
Chirinos, Yonny,630023,2019,530,385,.225,.260,-.035,.414,.458,-.044,.286,.321,-.035
Archer, Chris,502042,2019,526,324,.249,.265,-.016,.461,.480,-.019,.334,.347,-.013
Beede, Tyler,595881,2019,523,359,.271,.266,.005,.462,.474,-.012,.339,.343,-.004
Velasquez, Vince,592826,2019,516,333,.263,.252,.011,.499,.466,.033,.347,.334,.013
Smyly, Drew,592767,2019,514,337,.278,.264,.014,.558,.517,.041,.379,.360,.019
Brault, Steven,643230,2019,505,344,.265,.265,.000,.438,.444,-.006,.338,.340,-.002
Zimmermann, Jordan,519455,2019,504,391,.311,.310,.001,.526,.535,-.009,.363,.371,-.008
Clevinger, Mike,605182,2019,499,291,.209,.206,.003,.331,.344,-.013,.261,.264,-.003
Woodruff, Brandon,605540,2019,493,315,.240,.237,.003,.357,.367,-.010,.281,.284,-.003
Foltynewicz, Mike,592314,2019,491,347,.244,.260,-.016,.460,.459,.001,.319,.329,-.010
Keuchel, Dallas,572971,2019,487,348,.265,.268,-.003,.426,.429,-.003,.327,.332,-.005
Strahm, Matt,621381,2019,487,340,.267,.263,.004,.477,.479,-.002,.326,.326,.000
Brooks, Aaron,605156,2019,482,356,.271,.270,.001,.493,.481,.012,.348,.345,.003
Plesac, Zach,668676,2019,475,344,.237,.279,-.042,.437,.480,-.043,.315,.347,-.032
Freeland, Kyle,607536,2019,472,353,.296,.291,.005,.554,.508,.046,.372,.361,.011
Chacin, Jhoulys,468504,2019,470,318,.280,.273,.007,.521,.479,.042,.365,.353,.012
Lopez, Pablo,641154,2019,469,336,.261,.260,.001,.435,.435,.000,.318,.321,-.003
Sabathia, CC,282332,2019,468,318,.265,.242,.023,.512,.416,.096,.351,.311,.040
Beeks, Jalen,656222,2019,464,326,.281,.274,.007,.435,.447,-.012,.337,.340,-.003
Plutko, Adam,592644,2019,462,354,.267,.270,-.003,.488,.461,.027,.333,.326,.007
Houser, Adrian,605288,2019,462,303,.244,.226,.018,.399,.352,.047,.302,.281,.021
Price, David,456034,2019,458,295,.258,.245,.013,.441,.425,.016,.319,.308,.011
